have_pdf,year,cites,title,authors,venue,doi,topics,file,pdf_url,landing
YES,2006,252,Detection and localization of sybil nodes in VANETs,Bin Xiao; Bo Yu; Chuanshan Gao,,10.1145/1160972.1160974,RSSI / signal-strength & PHY; Position / trajectory verification; Datasets & simulation,pdfs/2006_Xiao_Detection_and_localization_of_sybil_nodes_in_VANETs.pdf,,https://doi.org/10.1145/1160972.1160974
,2013,182,Detecting Sybil attacks in VANETs,Bo Yu; Chengzhong Xu; Bin Xiao,Journal of Parallel and Distributed Computing,10.1016/j.jpdc.2013.02.001,Other / general Sybil defence,,,https://doi.org/10.1016/j.jpdc.2013.02.001
,2011,160,P2DAP — Sybil Attacks Detection in Vehicular Ad Hoc Networks,Tong Zhou; Romit Roy Choudhury; Peng Ning; Krishnendu Chakrabarty,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2011.110308,"Cryptography, PKI & pseudonyms; Datasets & simulation",,,https://doi.org/10.1109/jsac.2011.110308
YES,2011,143,Footprint: Detecting Sybil Attacks in Urban Vehicular Networks,Shan Chang; Yong Qi; Hongzi Zhu; Jizhong Zhao; Xuemin Shen,IEEE Transactions on Parallel and Distributed Systems,10.1109/tpds.2011.263,"Position / trajectory verification; Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2011_Chang_Footprint_Detecting_Sybil_Attacks_in_Urban_Vehicular_Networks.pdf,http://bbcr.uwaterloo.ca/~xshen/paper/2012/fdsaiu.pdf,https://doi.org/10.1109/tpds.2011.263
YES,2009,124,Defense against Sybil attack in vehicular ad hoc network based on roadside unit support,Soyoung Park; Baber Aslam; Damla Turgut; Cliff C. Zou,,10.1109/milcom.2009.5379844,"Cryptography, PKI & pseudonyms; RSU / infrastructure-assisted",pdfs/2009_Park_Defense_against_Sybil_attack_in_vehicular_ad_hoc_network_based_on_roadside_unit_support.pdf,http://www.cs.ucf.edu/~czou/research/Sybil-Vanet-Milcom09.pdf,https://doi.org/10.1109/milcom.2009.5379844
,2018,122,Multi-Channel Based Sybil Attack Detection in Vehicular Ad Hoc Networks Using RSSI,Yuan Yao; Bin Xiao; Gaofei Wu; Xue Liu; Zhiwen Yu; Kailong Zhang; Xingshe Zhou,IEEE Transactions on Mobile Computing,10.1109/tmc.2018.2833849,RSSI / signal-strength & PHY; Trust / reputation; Datasets & simulation,,,https://doi.org/10.1109/tmc.2018.2833849
YES,2007,99,On the Sybil attack detection in VANET,Gilles Guette; Bertrand Ducourthial,,10.1109/mobhoc.2007.4428742,RSSI / signal-strength & PHY,pdfs/2007_Guette_On_the_Sybil_attack_detection_in_VANET.pdf,,https://doi.org/10.1109/mobhoc.2007.4428742
,2009,98,A Robust Detection of the Sybil Attack in Urban VANETs,Chen Chen; Xin Wang; Weili Han; Binyu Zang,,10.1109/icdcsw.2009.48,RSU / infrastructure-assisted; Datasets & simulation,,,https://doi.org/10.1109/icdcsw.2009.48
YES,2018,97,On Detection of Sybil Attack in Large-Scale VANETs Using Spider-Monkey Technique,Celestine Iwendi; Mueen Uddin; James Adu Ansere; Pascal Nkurunziza; Joseph Henry Anajemba; Ali Kashif Bashir,IEEE Access,10.1109/access.2018.2864111,RSU / infrastructure-assisted,pdfs/2018_Iwendi_On_Detection_of_Sybil_Attack_in_LargeScale_VANETs_Using_SpiderMonkey_Technique.pdf,https://doi.org/10.1109/access.2018.2864111,https://doi.org/10.1109/access.2018.2864111
YES,2007,87,Privacy-Preserving Detection of Sybil Attacks in Vehicular Ad Hoc Networks,Tong Zhou; Romit Roy Choudhury; Peng Ning; Krishnendu Chakrabarty,,10.1109/mobiq.2007.4451013,"Cryptography, PKI & pseudonyms; Datasets & simulation",pdfs/2007_Zhou_PrivacyPreserving_Detection_of_Sybil_Attacks_in_Vehicular_Ad_Hoc_Networks.pdf,http://www.ee.duke.edu/~krish/TongZhou_Mobiquitous2007.pdf,https://doi.org/10.1109/mobiq.2007.4451013
YES,2016,81,A method for defensing against multi-source Sybil attacks in VANET,Xia Feng; Chunyan Li; Dexin Chen; Jin Tang,Peer-to-Peer Networking and Applications,10.1007/s12083-016-0431-x,Trust / reputation; Datasets & simulation,pdfs/2016_Feng_A_method_for_defensing_against_multisource_Sybil_attacks_in_VANET.pdf,https://link.springer.com/content/pdf/10.1007%2Fs12083-016-0431-x.pdf,https://doi.org/10.1007/s12083-016-0431-x
YES,2007,74,Sybil Nodes Detection Based on Received Signal Strength Variations within VANET,Mohamed Salah Bouassida; Gilles Guette; M. Shawky,,,RSSI / signal-strength & PHY; Position / trajectory verification; RSU / infrastructure-assisted; Datasets & simulation,pdfs/2007_Bouassida_Sybil_Nodes_Detection_Based_on_Received_Signal_Strength_Variations_within_VANET.pdf,,http://citeseerx.ist.psu.edu/viewdoc/summary?doi=10.1.1.186.3036
YES,2022,65,Collaborative Learning Based Sybil Attack Detection in Vehicular AD-HOC Networks (VANETS),Sofia Azam; Maryum Bibi; Rabia Riaz; Sanam Shahla Rizvi; Se Jin Kwon,Sensors,10.3390/s22186934,Machine learning / deep learning,pdfs/2022_Azam_Collaborative_Learning_Based_Sybil_Attack_Detection_in_Vehicular_ADHOC_Networks_VANETS.pdf,https://www.mdpi.com/1424-8220/22/18/6934/pdf?version=1663136026,https://doi.org/10.3390/s22186934
,2019,62,Power Control Identification: A Novel Sybil Attack Detection Scheme in VANETs Using RSSI,Yuan Yao; Bin Xiao; Gang Yang; Yujiao Hu; Liang Wang; Xingshe Zhou,IEEE Journal on Selected Areas in Communications,10.1109/jsac.2019.2933888,RSSI / signal-strength & PHY; Position / trajectory verification; Machine learning / deep learning; Datasets & simulation,,,https://doi.org/10.1109/jsac.2019.2933888
,2020,59,Sybil Attack Identification for Crowdsourced Navigation: A Self-Supervised Deep Learning Approach,James J. Q. Yu,IEEE Transactions on Intelligent Transportation Systems,10.1109/tits.2020.3036085,Position / trajectory verification; Machine learning / deep learning; Datasets & simulation,,,https://doi.org/10.1109/tits.2020.3036085
,2011,55,A sybil attack detection approach using neighboring vehicles in VANET,Jyoti Grover; Manoj Singh Gaur; Vijay Laxmi; Nitesh Kumar Prajapati,,10.1145/2070425.2070450,Other / general Sybil defence,,,https://doi.org/10.1145/2070425.2070450
YES,2019,54,A Macroscopic Traffic Model-based Approach for Sybil Attack Detection in VANETs,Marwane Ayaida; Nadhir Messai; Sameh Najeh; Kouame Boris N'Djore,Ad Hoc Networks,10.1016/j.adhoc.2019.01.010,Other / general Sybil defence,pdfs/2019_Ayaida_A_Macroscopic_Traffic_Modelbased_Approach_for_Sybil_Attack_Detection_in_VANETs.pdf,https://hal.science/hal-02189913,https://doi.org/10.1016/j.adhoc.2019.01.010
,2011,54,Cooperative Sybil Attack Detection for Position Based Applications in Privacy Preserved VANETs,Yong Hao; Jin Tang; Yu Cheng,,10.1109/glocom.2011.6134242,Position / trajectory verification; Datasets & simulation,,,https://doi.org/10.1109/glocom.2011.6134242
,2020,53,An Intelligent Mechanism for Sybil Attacks Detection in VANETs,Carlos H. O. O. Quevedo; Ana M. B. C. Quevedo; Gustavo Augusto Lima de Campos; Rafael L. Gomes; Joaquim Celestino; Ahmed Serhrouchni,,10.1109/icc40277.2020.9149371,Other / general Sybil defence,,,https://doi.org/10.1109/icc40277.2020.9149371
,2017,51,Support Vector Machine (SVM) Based Sybil Attack Detection in Vehicular Networks,Pengwenlong Gu; Rida Khatoun; Youcef Begriche; Ahmed Serhrouchni,,10.1109/wcnc.2017.7925783,"Cryptography, PKI & pseudonyms; Machine learning / deep learning; Datasets & simulation",,,https://doi.org/10.1109/wcnc.2017.7925783
