file,year,cites,title,venue,doi,code_urls,code_mentions,datasets,simulators,methods,chars
2006_Xiao_Detection_and_localization_of_sybil_nodes_in_VANETs.pdf,2006,252,Detection and localization of sybil nodes in VANETs,,10.1145/1160972.1160974,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Timestamp series",47127
2007_Bouassida_Sybil_Nodes_Detection_Based_on_Received_Signal_Strength_Variations_within_VANET.pdf,2007,74,Sybil Nodes Detection Based on Received Signal Strength Variations within VANET,,,,,,NS-2,"RSSI/PHY, Crypto/PKI/pseudonym",46945
2007_Guette_On_the_Sybil_attack_detection_in_VANET.pdf,2007,99,On the Sybil attack detection in VANET,,10.1109/mobhoc.2007.4428742,,,,,"RSSI/PHY, Crypto/PKI/pseudonym",28503
2007_Zhou_PrivacyPreserving_Detection_of_Sybil_Attacks_in_Vehicular_Ad_Hoc_Networks.pdf,2007,87,Privacy-Preserving Detection of Sybil Attacks in Vehicular Ad Hoc Networks,,10.1109/mobiq.2007.4451013,,,,,"Crypto/PKI/pseudonym, Timestamp series",35247
2009_Park_Defense_against_Sybil_attack_in_vehicular_ad_hoc_network_based_on_roadside_unit_support.pdf,2009,124,Defense against Sybil attack in vehicular ad hoc network based on roadside unit support,,10.1109/milcom.2009.5379844,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",34986
2011_Chang_Footprint_Detecting_Sybil_Attacks_in_Urban_Vehicular_Networks.pdf,2011,143,Footprint: Detecting Sybil Attacks in Urban Vehicular Networks,IEEE Transactions on Parallel and Distributed Systems,10.1109/tpds.2011.263,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Blockchain, RSU-assisted, Timestamp series",75166
2011_Mortazavi_Distributed_Sybil_Attack_Detection_in_VANET.pdf,2011,4,Distributed Sybil Attack Detection in VANET,International Journal of Computer Applications,10.5120/3704-5192,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted",13890
2011_Rahbari_Efficient_Detection_of_Sybil_attack_Based_on_Cryptography_in_Vanet.pdf,2011,19,Efficient Detection of Sybil attack Based on Cryptography in Vanet,International Journal of Network Security & Its Applications,10.5121/ijnsa.2011.3614,,,,MATLAB,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",32608
2012_Zoghby_Distributed_Data_Fusion_for_Detecting_Sybil_Attacks_in_VANETs.pdf,2012,15,Distributed Data Fusion for Detecting Sybil Attacks in VANETs,Advances in intelligent and soft computing,10.1007/978-3-642-29461-7_41,,,,MATLAB,"RSSI/PHY, Crypto/PKI/pseudonym, Trust/reputation",22147
2013_Almutaz_Sybil_detection_in_vehicular_networks.pdf,2013,0,Sybil detection in vehicular networks,,,,,,SUMO,"RSSI/PHY, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted",40705
2013_Dutta_A_Timeseries_Clustering_Approach_for_Sybil_Attack_Detection_in_Vehicular_Ad_hoc_Networks.pdf,2013,12,A Time-series Clustering Approach for Sybil Attack Detection in Vehicular Ad hoc Networks,,,,,,"SUMO, MATLAB","RSSI/PHY, Crypto/PKI/pseudonym, ML/DL, Trust/reputation, RSU-assisted",33929
2013_Kumari_Cooperative_Sybil_Attack_Detection_in_Privacy_Preserved_VANETs.pdf,2013,0,Cooperative Sybil Attack Detection in Privacy Preserved VANETs,,,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted",14834
2014_Almutaz_Detecting_Sybil_attacks_in_vehicular_networks.pdf,2014,16,Detecting Sybil attacks in vehicular networks,Journal of Trust Management,10.1186/2196-064x-1-4,,,,SUMO,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Trust/reputation, RSU-assisted, Timestamp series",55544
2014_DBalamahalakshmi_Sybil_Attack_Detection_with_Reduced_Bandwidthoverhead_in_Urban_Vehicular_Networks.pdf,2014,5,Sybil Attack Detection with Reduced Bandwidthoverhead in Urban Vehicular Networks,International Journal of Innovative Research in Computer and Communication Engineering,,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, Blockchain, RSU-assisted, Timestamp series",19458
2014_Kushwaha_A_Survey_on_Sybil_Attack_in_Vehicular_Adhoc_Network.pdf,2014,21,A Survey on Sybil Attack in Vehicular Ad-hoc Network,International Journal of Computer Applications,10.5120/17262-7614,,,,,"RSSI/PHY, Position/trajectory, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",24614
2014_Narang_Strategical_Comparison_Recognizing_and_Evicting_Sybil_Attack_in_Vehicular_Ad_Hoc_Networks.pdf,2014,0,Strategical Comparison: Recognizing and Evicting Sybil Attack in Vehicular Ad Hoc Networks,International Journal of Computer Applications,10.5120/17602-8216,,,,,"RSSI/PHY, Crypto/PKI/pseudonym, RSU-assisted, Timestamp series",32766
2014_Perumal_Sybil_Attack_Detection_in_Urban_VehicularNetworks.pdf,2014,0,Sybil Attack Detection in Urban VehicularNetworks,International Journal of Innovative Research in Computer and Communication Engineering,,,,,,"Position/trajectory, Crypto/PKI/pseudonym, Blockchain, RSU-assisted",17620
