archive,sweep,value,auc,auc_sd,ap,trivial_auc,trivial_ap,prevalence_obs,identities,n_test,seeds,ml_minus_trivial
GridSybil_0709,prevalence,0.03,0.8914,0.0741,0.6201,0.5727,0.0597,0.0282,1884,224,3,0.3187
GridSybil_0709,prevalence,0.05,0.8705,0.0908,0.6511,0.5987,0.1898,0.0536,1884,229,3,0.2718
GridSybil_0709,prevalence,0.1,0.9299,0.0176,0.8436,0.6476,0.2796,0.1105,1884,241,3,0.2823
GridSybil_0709,prevalence,0.2,0.9039,0.0139,0.8427,0.6278,0.326,0.1846,1884,271,3,0.2761
GridSybil_0709,prevalence_native,native,0.9267,0.007,0.9558,0.6708,0.7635,0.6001,1884,558,3,0.2559
GridSybil_0709,jitter,0.0,0.8914,0.0741,0.6201,0.5727,0.0597,0.0282,1884,224,3,0.3187
GridSybil_0709,jitter,0.05,0.9039,0.0678,0.5963,0.5437,0.0911,0.0282,1884,224,3,0.3602
GridSybil_0709,jitter,0.1,0.8955,0.0759,0.6417,0.5437,0.0911,0.0282,1884,224,3,0.3518
GridSybil_0709,jitter,0.25,0.7961,0.1354,0.4718,0.5214,0.09,0.0282,1884,224,3,0.2747
GridSybil_0709,jitter,0.5,0.8507,0.109,0.5969,0.5428,0.071,0.0267,1884,224,3,0.3079
GridSybil_0709,cap,2,0.8625,0.1128,0.5583,0.4915,0.0536,0.0355,1296,225,3,0.371
GridSybil_0709,cap,3,0.7294,0.0921,0.3804,0.7132,0.0785,0.0286,1444,227,2,0.0162
GridSybil_0709,cap,5,0.8743,0.0401,0.6799,0.6188,0.1229,0.0296,1739,225,3,0.2555
GridSybil_0709,cap,10,0.8914,0.0741,0.6201,0.5727,0.0597,0.0282,1884,224,3,0.3187
GridSybil_0709,cap,25,0.8914,0.0741,0.6201,0.5727,0.0597,0.0282,1884,224,3,0.3187
GridSybil_0709,cap,50,0.8914,0.0741,0.6201,0.5727,0.0597,0.0282,1884,224,3,0.3187
GridSybil_0709,cap,100,0.8914,0.0741,0.6201,0.5727,0.0597,0.0282,1884,224,3,0.3187
GridSybil_0709,cap,native,0.8914,0.0741,0.6201,0.5727,0.0597,0.0282,1884,224,3,0.3187
GridSybil_0709,beacon,1.0,0.8914,0.0741,0.6201,0.5727,0.0597,0.0282,1884,224,3,0.3187
GridSybil_0709,beacon,0.75,0.9627,0.0,0.2684,0.3964,0.0335,0.0217,1878,230,1,0.5663
GridSybil_0709,beacon,0.5,0.9805,0.0276,0.6531,0.6807,0.0731,0.0286,1870,227,2,0.2998
GridSybil_0709,beacon,0.25,0.8828,0.1061,0.5872,0.6282,0.0515,0.0249,1830,221,2,0.2546
GridSybil_0709,beacon,0.1,0.9826,0.0,0.8452,0.6519,0.1115,0.0343,1672,204,1,0.3307
GridSybil_0709,jitter_native,0.0,0.9267,0.0069,0.9558,0.6708,0.7635,0.6001,1884,558,3,0.2559
GridSybil_0709,jitter_native,0.05,0.928,0.0066,0.9588,0.6856,0.791,0.6001,1884,558,3,0.2424
GridSybil_0709,jitter_native,0.1,0.9279,0.0073,0.9579,0.6856,0.7911,0.6001,1884,558,3,0.2423
GridSybil_0709,jitter_native,0.25,0.9222,0.0091,0.9529,0.686,0.7914,0.6001,1884,558,3,0.2362
GridSybil_0709,jitter_native,0.5,0.9158,0.0179,0.9472,0.6858,0.791,0.6001,1884,558,3,0.23
GridSybil_0709,cap_native,2,0.91,0.0041,0.9114,0.7068,0.6648,0.4271,1296,389,3,0.2032
GridSybil_0709,cap_native,3,0.9162,0.0085,0.9218,0.6813,0.6914,0.4836,1444,431,3,0.2349
GridSybil_0709,cap_native,5,0.925,0.0062,0.9498,0.6702,0.7414,0.5677,1739,516,3,0.2548
GridSybil_0709,cap_native,10,0.9267,0.007,0.9558,0.6708,0.7635,0.6001,1884,558,3,0.2559
GridSybil_0709,cap_native,25,0.9268,0.0069,0.9558,0.6708,0.7635,0.6001,1884,558,3,0.256
GridSybil_0709,cap_native,50,0.9267,0.007,0.9558,0.6708,0.7635,0.6001,1884,558,3,0.2559
GridSybil_0709,cap_native,100,0.9268,0.0069,0.9558,0.6708,0.7635,0.6001,1884,558,3,0.256
GridSybil_0709,cap_native,native,0.9268,0.0069,0.9558,0.6708,0.7635,0.6001,1884,558,3,0.256
GridSybil_0709,beacon_native,1.0,0.9267,0.007,0.9558,0.6708,0.7635,0.6001,1884,558,3,0.2559
GridSybil_0709,beacon_native,0.75,0.9139,0.0131,0.9505,0.6595,0.7523,0.6006,1879,551,3,0.2544
GridSybil_0709,beacon_native,0.5,0.9063,0.0079,0.9463,0.6116,0.7181,0.5945,1869,543,3,0.2947
GridSybil_0709,beacon_native,0.25,0.9089,0.0096,0.9513,0.5978,0.7088,0.625,1829,559,3,0.3111
GridSybil_0709,beacon_native,0.1,0.897,0.0026,0.9461,0.5589,0.681,0.6008,1669,498,3,0.3381
