msgs_per_id,identities,detection_auc,detection_pos,tracking_auc,tracking_pos,archive,vantage,seed,site
14.0,230,0.7225163862257875,269,0.8246355837634258,201,GridSybil_0709,vehicle,0,23889.0
11.0,103,0.6535503685503685,110,0.798205768794004,111,GridSybil_0709,vehicle,0,12879.0
4.0,121,0.6449973739495798,136,0.6956701409614767,116,GridSybil_0709,vehicle,0,23883.0
11.0,76,0.7031010640500146,83,0.863172161172161,150,GridSybil_0709,vehicle,0,12897.0
7.0,102,0.6561756149166887,114,0.7878864780273231,142,GridSybil_0709,vehicle,0,12831.0
10.0,49,0.6399501661129567,43,0.6955512335295767,174,GridSybil_0709,vehicle,0,11115.0
6.0,112,0.714566676093272,97,0.8385249938438809,131,GridSybil_0709,vehicle,0,23985.0
6.0,50,0.7066071428571429,25,0.8326771653543307,52,GridSybil_0709,vehicle,0,21615.0
4.0,119,0.6842087296891356,173,0.6838243703004832,267,GridSybil_0709,vehicle,0,21687.0
4.0,121,0.6864057886638666,139,0.8168070597673486,90,GridSybil_0709,vehicle,0,23739.0
14.0,54,0.6162232076866223,66,0.7202103204556372,152,GridSybil_0709,vehicle,0,11151.0
11.0,87,0.6461213136158497,98,0.9352201257861635,53,GridSybil_0709,vehicle,0,23931.0
25.0,6546,0.7163423922193941,396,0.8092800336102247,422,GridSybil_0709,global,0,
21.0,2016,0.7372113100985024,1051,0.7714964985201599,847,GridSybil_0709,rsu,0,0.0
18.0,1649,0.7302136002880355,1270,0.8400440068332219,653,GridSybil_0709,rsu,0,1.0
15.0,1913,0.7277321066030026,1315,0.8091416748787794,655,GridSybil_0709,rsu,0,2.0
14.0,1871,0.7019206333696608,1202,0.8052445022863726,607,GridSybil_0709,rsu,0,3.0
5.0,209,0.6968394437420986,105,0.7768535262206149,42,GridSybil_0709,rsu,0,4.0
14.0,230,0.7225163862257875,269,0.835367271036727,225,GridSybil_0709,vehicle,1,23889.0
11.0,103,0.6535503685503685,110,0.8171748686484418,109,GridSybil_0709,vehicle,1,12879.0
4.0,121,0.6449973739495798,136,0.6839838148193561,127,GridSybil_0709,vehicle,1,23883.0
11.0,76,0.7031010640500146,83,0.8760089761195029,146,GridSybil_0709,vehicle,1,12897.0
7.0,102,0.6561756149166887,114,0.7825645964387434,148,GridSybil_0709,vehicle,1,12831.0
10.0,49,0.6399501661129567,43,0.6942851681957185,176,GridSybil_0709,vehicle,1,11115.0
6.0,112,0.714566676093272,97,0.8479273778920308,128,GridSybil_0709,vehicle,1,23985.0
6.0,50,0.7066071428571429,25,0.8245850869530692,49,GridSybil_0709,vehicle,1,21615.0
4.0,119,0.6842087296891356,173,0.6820811566518051,263,GridSybil_0709,vehicle,1,21687.0
4.0,121,0.6864057886638666,139,0.7944051478534238,87,GridSybil_0709,vehicle,1,23739.0
14.0,54,0.6162232076866223,66,0.7233506493506494,150,GridSybil_0709,vehicle,1,11151.0
11.0,87,0.6461213136158497,98,0.9199051268016786,54,GridSybil_0709,vehicle,1,23931.0
25.0,6546,0.6968243030413218,365,0.8108208681070289,401,GridSybil_0709,global,1,
21.0,2016,0.7288502732632609,1068,0.7971830563560084,860,GridSybil_0709,rsu,1,0.0
18.0,1649,0.7316089058943337,1246,0.8460418767974751,627,GridSybil_0709,rsu,1,1.0
15.0,1913,0.7210889038565291,1316,0.8000950926898935,659,GridSybil_0709,rsu,1,2.0
14.0,1871,0.7172965252466421,1155,0.8219520856641161,633,GridSybil_0709,rsu,1,3.0
5.0,209,0.6968394437420986,105,0.787040385774563,42,GridSybil_0709,rsu,1,4.0
14.0,230,0.7225163862257875,269,0.8070861793975426,223,GridSybil_0709,vehicle,2,23889.0
11.0,103,0.6535503685503685,110,0.8094133464626573,112,GridSybil_0709,vehicle,2,12879.0
4.0,121,0.6449973739495798,136,0.681896680382918,124,GridSybil_0709,vehicle,2,23883.0
11.0,76,0.7031010640500146,83,0.8670848955046587,155,GridSybil_0709,vehicle,2,12897.0
7.0,102,0.6561756149166887,114,0.7778180865429187,148,GridSybil_0709,vehicle,2,12831.0
10.0,49,0.6399501661129567,43,0.6898672367830655,173,GridSybil_0709,vehicle,2,11115.0
6.0,112,0.714566676093272,97,0.8769910523837225,126,GridSybil_0709,vehicle,2,23985.0
6.0,50,0.7066071428571429,25,0.8290103442951985,51,GridSybil_0709,vehicle,2,21615.0
4.0,119,0.6842087296891356,173,0.6847050295528048,252,GridSybil_0709,vehicle,2,21687.0
4.0,121,0.6864057886638666,139,0.7936406811073787,89,GridSybil_0709,vehicle,2,23739.0
14.0,54,0.6162232076866223,66,0.7438355007600067,155,GridSybil_0709,vehicle,2,11151.0
11.0,87,0.6461213136158497,98,0.9103566529492455,54,GridSybil_0709,vehicle,2,23931.0
25.0,6546,0.6834724599879003,370,0.8134521577507772,420,GridSybil_0709,global,2,
21.0,2016,0.7248728777351031,1052,0.7838736031644874,841,GridSybil_0709,rsu,2,0.0
18.0,1649,0.7285473603526521,1264,0.844974268569352,608,GridSybil_0709,rsu,2,1.0
15.0,1913,0.7226522687832717,1298,0.8145495502971479,677,GridSybil_0709,rsu,2,2.0
14.0,1871,0.7012809026018537,1157,0.8128977858703644,587,GridSybil_0709,rsu,2,3.0
5.0,209,0.6968394437420986,105,0.7877637130801687,42,GridSybil_0709,rsu,2,4.0
