archive,stage,auc,auc_sd_over_seeds,auc_boot_lo_seed0,auc_boot_hi_seed0,ap,trivial_auc,ml_minus_trivial,n_test,prevalence,seeds,note
GridSybil_0709,S0_published,0.9979,0.0003,0.9956,0.9998,0.9922,0.0089,0.989,998.0,0.2926,5.0,
GridSybil_0709,S1_no_pseudonym,0.9973,0.0001,0.9943,0.9997,0.9899,0.0089,0.9885,998.0,0.2926,5.0,
GridSybil_0709,S2_no_gt_agg,0.9372,0.0018,0.9264,0.9463,0.9662,0.6569,0.2803,1884.0,0.6189,5.0,
GridSybil_0709,S3_disjoint,0.931,0.0091,0.9001,0.9442,0.9608,0.6741,0.2569,566.0,0.6156,5.0,
GridSybil_0709,S4_prevalence_3,0.8926,0.0877,0.6273,1.0,0.6744,0.6333,0.2593,223.0,0.0286,5.0,
GridSybil_0709,S5_jitter,0.8339,0.1307,0.4267,0.9909,0.5743,0.5744,0.2596,223.0,0.0286,5.0,
GridSybil_0709,S6_no_rate,0.8428,0.1345,0.3639,0.9819,0.5215,0.5744,0.2685,223.0,0.0286,5.0,
GridSybil_1416,S0_published,0.9994,0.0006,0.9977,1.0,0.9991,0.0039,0.9955,868.0,0.3007,5.0,
GridSybil_1416,S1_no_pseudonym,0.9994,0.0006,0.9956,1.0,0.9992,0.0039,0.9956,868.0,0.3007,5.0,
GridSybil_1416,S2_no_gt_agg,0.9359,0.0011,0.9264,0.9491,0.9692,0.5761,0.3598,1670.0,0.6365,5.0,
GridSybil_1416,S3_disjoint,0.9338,0.006,0.9173,0.9557,0.9675,0.5566,0.3772,501.0,0.6347,5.0,
GridSybil_1416,S4_prevalence_3,,,,,,,,,,,degenerate
GridSybil_1416,S5_jitter,,,,,,,,,,,degenerate
GridSybil_1416,S6_no_rate,,,,,,,,,,,degenerate
DataReplaySybil_0709,S0_published,1.0,0.0,0.9999,1.0,1.0,0.4972,0.5028,989.0,0.3013,5.0,
DataReplaySybil_0709,S1_no_pseudonym,0.9998,0.0001,0.9994,1.0,0.9996,0.4972,0.5026,989.0,0.3013,5.0,
DataReplaySybil_0709,S2_no_gt_agg,0.9985,0.0003,0.9964,0.9998,0.9997,0.5437,0.4548,6093.0,0.8866,5.0,
DataReplaySybil_0709,S3_disjoint,0.9983,0.0012,0.9909,1.0,0.9997,0.5468,0.4515,2071.0,0.9021,5.0,
DataReplaySybil_0709,S4_prevalence_3,0.9958,0.0028,0.995,1.0,0.9265,0.5063,0.4895,214.0,0.0358,3.0,
DataReplaySybil_0709,S5_jitter,0.9993,0.0005,0.995,1.0,0.9833,0.6269,0.3724,214.0,0.0339,4.0,
DataReplaySybil_0709,S6_no_rate,0.9996,0.0004,0.9967,1.0,0.9906,0.6269,0.3727,214.0,0.0339,4.0,
DataReplaySybil_1416,S0_published,0.9998,0.0001,0.9996,1.0,0.9996,0.5154,0.4845,869.0,0.3015,5.0,
DataReplaySybil_1416,S1_no_pseudonym,0.9993,0.0002,0.9984,1.0,0.9986,0.5154,0.484,869.0,0.3015,5.0,
DataReplaySybil_1416,S2_no_gt_agg,0.9988,0.0003,0.9979,0.9997,0.9998,0.5344,0.4644,5875.0,0.8967,5.0,
DataReplaySybil_1416,S3_disjoint,0.9974,0.0019,0.9871,1.0,0.9995,0.5275,0.47,1558.0,0.8759,5.0,
