file,year,report:Explicit threat model,report:Vehicle count,report:Simulation time,report:Beacon rate,report:Attacker fraction,report:Simulation area,report:ROC or AUC,report:Any significance test or interval,report:Code mentioned,report:Adversarial machine learning content,usage:VeReMi (any),usage:VeReMi Extension,usage:VeReMi NextGen,usage:F2MD,usage:NGSIM,usage:CRAWDAD,usage:BurST-ADMA,usage:Istanbul RSSI set,usage:Kaggle,usage:any named public dataset,sim:SUMO,sim:Veins,sim:OMNeT++,sim:NS-2,sim:NS-3,sim:MATLAB,sim:any simulator
2006_Xiao_Detection_and_localization_of_sybil_nodes_in_VANETs.txt,2006,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007_Bouassida_Sybil_Nodes_Detection_Based_on_Received_Signal_Strength_Variations_within_VANET.txt,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2007_Guette_On_the_Sybil_attack_detection_in_VANET.txt,2007,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2007_Zhou_PrivacyPreserving_Detection_of_Sybil_Attacks_in_Vehicular_Ad_Hoc_Networks.txt,2007,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009_Park_Defense_against_Sybil_attack_in_vehicular_ad_hoc_network_based_on_roadside_unit_support.txt,2009,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011_Chang_Footprint_Detecting_Sybil_Attacks_in_Urban_Vehicular_Networks.txt,2011,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011_Mortazavi_Distributed_Sybil_Attack_Detection_in_VANET.txt,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011_Rahbari_Efficient_Detection_of_Sybil_attack_Based_on_Cryptography_in_Vanet.txt,2011,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2012_Zoghby_Distributed_Data_Fusion_for_Detecting_Sybil_Attacks_in_VANETs.txt,2012,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
2013_Almutaz_Sybil_detection_in_vehicular_networks.txt,2013,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2013_Dutta_A_Timeseries_Clustering_Approach_for_Sybil_Attack_Detection_in_Vehicular_Ad_hoc_Networks.txt,2013,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True
2013_Kumari_Cooperative_Sybil_Attack_Detection_in_Privacy_Preserved_VANETs.txt,2013,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014_Almutaz_Detecting_Sybil_attacks_in_vehicular_networks.txt,2014,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2014_DBalamahalakshmi_Sybil_Attack_Detection_with_Reduced_Bandwidthoverhead_in_Urban_Vehicular_Networks.txt,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014_Kushwaha_A_Survey_on_Sybil_Attack_in_Vehicular_Adhoc_Network.txt,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014_Narang_Strategical_Comparison_Recognizing_and_Evicting_Sybil_Attack_in_Vehicular_Ad_Hoc_Networks.txt,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014_Perumal_Sybil_Attack_Detection_in_Urban_VehicularNetworks.txt,2014,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014_Prakash_Improved_Session_key_based_Certificate_to_Detect_Sybil_Attack_in_VANET.txt,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2014_Suganya_Sybil_Attack_Detection_in_Urban_Vehicular_Networks.txt,2014,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015_anon_Mitigation_of_Sybil_Attack_Using_Location_Aware_Nodes_in_VANET.txt,2015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015_Grover_Multivariate_verification_for_sybil_attack_detection_in_VANET.txt,2015,True,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2015_Jin_A_Traffic_Flow_Theory_Aided_Physical_MeasurementBased_Sybil_Nodes_Detection_Mechanism_in_V.txt,2015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015_Kamani_A_Review_on_Sybil_Attack_Detection_Techniques.txt,2015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015_Kateshiya_ICMP_and_Monitoring_to_Detect_and_IsolateSybil_Attack_in_VANET.txt,2015,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2015_Kaur_Movement_Abnormality_Evaluation_Model_in_the_Partially_Centralized_VANETs_for_Prevention_A.txt,2015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015_Naveed_Detection_of_Sybil_Attacks_in_Vehicular_Ad_Hoc_Networks.txt,2015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015_Shete_VANET_Security_against_Sybil_Attack_by_Using_New_SRAN_Routing_Protocol.txt,2015,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015_Soni_Sybil_Node_Detection_and_Prevention_Approach_on_Physical_Location_in_VANET.txt,2015,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2015_Tyagi_Preserving_Location_Privacy_in_Location_Based_Services_against_Sybil_Attacks.txt,2015,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2016_anon_Detecting_and_Avoiding_Sybil_Attack_in_OLSR_Protocol.txt,2016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True
2016_Arora_Detect_the_Sybil_Attack_by_using_GPSR_Protocol.txt,2016,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016_Chawla_Comparative_Analysis_of_Sybil_Attack_Detection_Techniques_in_VANETs.txt,2016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2016_Feng_A_method_for_defensing_against_multisource_Sybil_attacks_in_VANET.txt,2016,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2016_Minhas_Evaluation_of_Hybrid_framework_for_Detection_of_Sybil_Attack_in_VANET.txt,2016,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2017_anon_A_Novel_Mechanism_of_Detection_of_Sybil_Attack_in_Vanet_using_Timestamp_Approach.txt,2017,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2017_Panchal_Segregation_of_Sybil_Attack_using_Neighbouring_Information_in_VANET.txt,2017,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2017_Yuan_Voiceprint_A_Novel_Sybil_Attack_Detection_Method_Based_on_RSSI_for_VANETs.txt,2017,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2018_Iwendi_On_Detection_of_Sybil_Attack_in_LargeScale_VANETs_Using_SpiderMonkey_Technique.txt,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018_Shaik_Broadcast_Message_Authentication_Mechanism_to_Detect_Clone_and_Sybil_attacks_in_VANETs_bas.txt,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2018_Singh_Evaluation_of_proposed_technique_for_detection_of_Sybil_attack_in_VANET.txt,2018,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True
2018_Toubi_Attacks_against_security_in_the_vehicular_network_and_the_impact_of_Sybil_attack_and_Black.txt,2018,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2019_Ayaida_A_Macroscopic_Traffic_Modelbased_Approach_for_Sybil_Attack_Detection_in_VANETs.txt,2019,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True
2019_Dutt_Defending_Against_Sybil_Attacks_by_Enhanced_Event_Based_Reputation_System_in_Vanet.txt,2019,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,True
2019_Hamdan_Detecting_Sybil_attacks_in_vehicular_ad_hoc_networks.txt,2019,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True
2019_Jose_SYBIL_ATTACK_DETECTION_IN_VANET_USING_SPIDER_MONKEY_TECHNIQUE_AND_ECC.txt,2019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019_Kumar_Hash_Based_CoOperative_Method_To_Handle_Sybil_Attack_Sequences_In_Vehicular_Ad_Hoc_Network.txt,2019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019_Naveen_Increase_the_Performance__Security_in_VANET_using_Deduction_of_Sybil_Attack.txt,2019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2019_Pandey_Proactive_Defence_Technique_PDT_For_Vehicular_Ad_Hoc_Network_To_Protect_Against_Sybil_Atta.txt,2019,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2019_Samhitha_An_Efficient_Implementation_of_a_Method_to_Detect_Sybil_Attacks_in_Vehicular_Ad_hoc_Networ.txt,2019,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020_anon_Sybil_Attack_Behavior_Detection_for_V2x_Based_on_Traffic_Statistics.txt,2020,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,True,False,False,False,True
2020_Baza_Detecting_Sybil_Attacks_Using_Proofs_of_Work_and_Location_in_VANETs.txt,2020,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True
2020_Kabbur_MARSybil_Cooperative_RSU_Based_Detection_and_Prevention_of_Sybil_Attacks_in_Routing_Proces.txt,2020,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2020_Kumar_Sybil_Attack_Detection_in_Vehicular_Adhoc_Networks_using_Direct_Trust_Calculation.txt,2020,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
2020_Preetha_A_SURVEY_OF_SYBIL_ATTACK_DETECTION_IN_VANETS.txt,2020,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2020_Rhamdhan_Hybrid_Trustbased_Defense_Mechanisms_Against_Sybil_Attack_in_Vehicular_Adhoc_Networks.txt,2020,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2021_Amandeep_Sybil_attack_detection_in_VAVET_by_using_neighbouring_vehicles_in_Wireless_Sensor_Networks.txt,2021,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True
